Name,Latitude,Longitude
Kings Plain Creek campground,-29.5840102733331,151.389535626667
Dees Corner campground,-32.5386523,152.316542906667
Frazer campground,-33.1863954066664,151.622703066667
Black Rocks campground,-29.2510837133332,153.366306113334
Dry Tank campground,-30.5183655533332,145.714701666667
Appletree Flat campervan and camper trailer area,-33.8008274830659,150.618669002252
Mungo Brush campground,-32.5429413266666,152.307698140001
The Ruins campground and picnic area,-32.31018074,152.519430766667
Belah campground,-33.7123603466667,143.17720658
Edward River Bridge campground,-35.8118661837967,144.960721106961
Youdales campground,-31.0739327066685,152.25426202
Peacock Creek campground,-28.6600655066665,152.715838326667
Bald Rock campground and picnic area,-28.8455097800033,152.046005553334
Coach and Horses campground,-31.4557936600012,143.827580340013
McIntyres campground,-35.2638576866665,148.73717296
Little Murray campground,-31.9813986599999,151.458609306667
Emu Lake campground,-32.4703089333339,142.34655168
Heartbreak Hill campground,-33.2709845533332,150.897112779999
New Country Swamp campground,-31.3293550000016,151.86906128
Cypress-pine campground,-28.8423147200037,152.15128278
Bark Hut picnic area and campground,-30.2901866666667,150.143200000001
Broughton Island campground,-32.6172849199999,152.316116220001
Sculptures in the Scrub picnic area and campground,-30.9973583333333,149.234563333334
Dead Horse Gully campground,-29.4173872200031,142.000893333334
Warrabah campground and picnic area,-30.5680702800022,150.916603699998
Johnsons Beach campground,-32.4851869933332,152.328128100001
The Sink campground,-34.0973152199999,149.658604166667
Samual Bollard campground,-35.8992380133333,147.328728926667
Bents Basin campground,-33.9321716799999,150.637380626667
Blatherarm campground and picnic area,-29.2553324466666,151.70621862
Rummery Park campground,-28.5991126266665,153.377918086667
Apsley Falls campground,-31.0540415000018,151.762134053333
Bungonia campground,-34.8068719199999,150.002219820001
Deua River campgrounds,-35.7485633333332,149.916475
Boyd River campground,-33.9713887799998,150.056494613334
Middle Beach campground,-36.6438879199999,150.013144086667
Barokee campground,-30.443451686669,152.252125800001
Jacky Barkers campground,-31.5923390333332,151.724603866667
Blue Waterholes campground,-35.6230310133333,148.683240006667
The Willows,-34.7610511990105,143.760431199011
The Diggings campground,-33.1847833333331,149.953588266667
Euroka campground,-33.7990289854787,150.618608036233
Bendethera Valley campground,-35.9504520066666,149.747177573334
Racecourse campground,-31.2494238281676,152.960447200318
Mooraback campground,-31.1473342999998,152.215087566667
Woody Head campground,-29.3661947666699,153.371689753334
Camp Walaay,-31.2752395799999,148.996456833334
